case_id,activity,timestamp,transition,duration_days
case_0001,A,2025-01-11 17:39:58,start,0.0
case_0001,B,2025-01-12 14:15:06,A→B,0.8577320653421732
case_0002,A,2025-02-09 04:00:36,start,0.0
case_0002,B,2025-02-12 13:04:45,A→B,3.3778767771708966
case_0002,C,2025-02-14 21:11:37,B→C,2.3381015938318206
case_0002,D,2025-02-20 09:18:22,C→D,5.504686582802278
case_0003,A,2025-01-14 13:55:11,start,0.0
case_0003,B,2025-01-15 12:39:50,A→B,0.9476778239029752
case_0003,A,2025-01-17 10:09:13,B→A,1.8954038030774414
case_0003,B,2025-01-21 05:20:48,A→B,3.7997151537536284
case_0003,C,2025-01-22 01:45:12,B→C,0.8502761346586478
case_0003,D,2025-01-23 17:32:00,C→D,1.6575041730861901
case_0004,A,2025-02-03 19:15:48,start,0.0
case_0004,B,2025-02-08 12:44:52,A→B,4.728511217619809
case_0004,C,2025-02-13 03:24:48,B→C,4.611073825893543
case_0004,B,2025-02-17 15:43:56,C→B,4.513276084453786
case_0004,A,2025-02-20 02:49:54,B→A,2.4624813167168895
case_0004,B,2025-02-22 18:34:53,A→B,2.6562360805039305
case_0004,C,2025-02-27 05:48:55,B→C,4.468086873947186
case_0004,D,2025-02-27 05:58:18,C→D,0.006512941646096948
case_0005,A,2025-02-01 03:54:48,start,0.0
case_0005,B,2025-02-02 07:20:04,A→B,1.1425494400975917
case_0005,D,2025-02-27 00:13:29,B→D,24.703762987467293
case_0006,A,2025-02-13 19:17:35,start,0.0
case_0006,B,2025-02-15 05:21:16,A→B,1.4192315470272057
case_0006,D,2025-02-23 19:41:12,B→D,8.5971760034331
case_0007,A,2025-02-07 06:08:49,start,0.0
case_0007,B,2025-02-09 01:19:45,A→B,1.7992572944452299
case_0007,C,2025-02-12 13:03:38,B→C,3.4888006658415414
case_0007,B,2025-02-12 17:26:39,C→B,0.18265566868581828
case_0007,C,2025-02-15 08:08:55,B→C,2.612688463836161
case_0007,D,2025-02-19 03:57:37,C→D,3.8254781747410576
case_0008,A,2025-02-09 13:50:04,start,0.0
case_0008,B,2025-02-10 08:44:48,A→B,0.7880097839054958
case_0008,C,2025-02-11 02:43:12,B→C,0.7488874862338148
case_0008,D,2025-02-16 11:54:00,C→D,5.382502038882855
case_0009,A,2025-02-06 09:48:46,start,0.0
case_0009,C,2025-02-11 08:07:27,A→C,4.929639139758165
case_0009,D,2025-02-18 04:26:55,C→D,6.846858328847493
case_0010,A,2025-01-08 16:48:57,start,0.0
case_0010,B,2025-01-08 21:52:45,A→B,0.21097330910796497
case_0010,C,2025-01-09 01:59:28,B→C,0.17133134336410183
case_0010,D,2025-01-09 17:53:59,C→D,0.6628495568965749
case_0011,A,2025-01-19 19:40:48,start,0.0
case_0011,B,2025-01-22 07:04:51,A→B,2.4750262177829776
case_0011,C,2025-01-23 16:39:13,B→C,1.398868548640237
case_0011,D,2025-01-25 15:22:45,C→D,1.946899352531669
case_0012,A,2025-02-09 00:14:21,start,0.0
case_0012,C,2025-02-10 19:34:25,A→C,1.8056006629346497
case_0012,D,2025-02-20 12:28:50,C→D,9.70445598087012
case_0013,A,2025-01-07 02:25:39,start,0.0
case_0013,B,2025-01-08 04:17:04,A→B,1.0773697736111991
case_0013,A,2025-01-09 21:55:59,B→A,1.7353588494740153
case_0013,B,2025-01-10 12:36:35,A→B,0.6115339590531228
case_0013,C,2025-01-12 23:14:59,B→C,2.4433253285896095
case_0013,B,2025-01-23 08:11:01,C→B,10.37225593953278
case_0013,C,2025-01-23 23:18:26,B→C,0.6301440207100235
case_0013,B,2025-01-26 21:47:14,C→B,2.936669606453588
case_0013,A,2025-01-28 20:08:47,B→A,1.9316250619907578
case_0013,B,2025-01-29 18:12:43,A→B,0.9194077032208554
case_0013,D,2025-01-31 05:35:56,B→D,1.4744520838595143
case_0014,A,2025-01-11 01:39:58,start,0.0
case_0014,C,2025-01-14 15:15:39,A→C,3.5664525357932226
case_0014,D,2025-01-23 10:18:48,C→D,8.793853043357336
case_0015,A,2025-02-07 16:45:51,start,0.0
case_0015,C,2025-02-16 12:35:03,A→C,8.82583827100501
case_0015,B,2025-02-17 18:52:13,C→B,1.2619159004412985
case_0015,C,2025-02-22 01:16:20,B→C,4.266751518744018
case_0015,D,2025-02-22 17:05:45,C→D,0.6593169956479521
case_0016,A,2025-01-22 08:57:33,start,0.0
case_0016,C,2025-01-27 16:03:13,A→C,5.295599192465037
case_0016,D,2025-01-28 23:47:51,C→D,1.3226647546007033
case_0017,A,2025-01-05 16:51:25,start,0.0
case_0017,B,2025-01-09 07:44:30,A→B,3.6201944860032005
case_0017,C,2025-01-10 21:30:24,B→C,1.5735460007745607
case_0017,B,2025-01-12 08:40:45,C→B,1.4655120540891984
case_0018,A,2025-01-26 15:41:35,start,0.0
case_0018,B,2025-01-30 06:48:11,A→B,3.6295886388232264
case_0018,C,2025-02-03 20:34:49,B→C,4.574053836041567
case_0018,D,2025-02-04 03:58:31,C→D,0.308115996774319
case_0019,A,2025-02-21 21:15:57,start,0.0
case_0019,B,2025-02-25 20:50:39,A→B,3.982424419915499
case_0019,C,2025-02-27 10:24:00,B→C,1.5648267591685503
case_0020,A,2025-01-09 06:57:48,start,0.0
case_0020,B,2025-01-10 10:05:38,A→B,1.1304411729883224
case_0020,A,2025-01-11 21:21:59,B→A,1.4696781589797
case_0020,B,2025-01-17 10:18:36,A→B,5.5393192318249564
case_0020,D,2025-01-22 14:14:32,B→D,5.163847970244305
case_0021,A,2025-02-28 13:35:06,start,0.0
